Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion,ot1,ot2,ot3
7,facilitating,9,600,17,28,0.487703206345136,0.0922305764411027,0.622222222222222,3.29785379996619e-17,-0.272586510254553,0
7,facilitating,10,650,15,33,0.77070541490582,0.0943668753009148,0.6875,0.0495073771488337,-0.261228738993946,-0.112436199085566
7,facilitating,11,700,15,33,0.77070541490582,0.0943668753009148,0.6875,0.0990147542976674,-0.227155425212127,-0.208810084016051
7,facilitating,12,750,15,33,0.77070541490582,0.0943668753009148,0.6875,0.148522131446501,-0.170366568909095,-0.273059340636375
7,facilitating,13,800,15,33,0.77070541490582,0.0943668753009148,0.6875,0.198029508595335,-0.090862170084851,-0.289121654791456
7,facilitating,14,850,12,35,1.04380405217311,0.108169014084507,0.74468085106383,0.247536885744169,0.0113577712606064,-0.240934712326213
7,facilitating,15,900,13,33,0.908855753386637,0.103924820342731,0.717391304347826,0.297044262893002,0.136293255127276,-0.112436199085566
7,facilitating,16,950,12,33,0.985816794522765,0.109850746268657,0.733333333333333,0.346551640041836,0.283944281515159,0.112436199085566
7,facilitating,17,1000,9,38,1.39936644268724,0.131237183868763,0.808510638297872,0.39605901719067,0.454310850424255,0.449744796342265
7,neutral,1,200,24,19,-0.22825865198098,0.0920983778126635,0.441860465116279,-0.39605901719067,0.454310850424255,-0.449744796342265
7,neutral,2,250,24,21,-0.130620182417064,0.087327954437589,0.466666666666667,-0.346551640041836,0.283944281515159,-0.112436199085566
7,neutral,3,300,24,21,-0.130620182417064,0.087327954437589,0.466666666666667,-0.297044262893002,0.136293255127276,0.112436199085566
7,neutral,4,350,26,21,-0.209091797858559,0.0842474769635805,0.446808510638298,-0.247536885744169,0.0113577712606063,0.240934712326213
7,neutral,5,400,27,21,-0.246133069538908,0.0828752642706131,0.4375,-0.198029508595335,-0.090862170084851,0.289121654791456
7,neutral,6,450,27,21,-0.246133069538908,0.0828752642706131,0.4375,-0.148522131446501,-0.170366568909095,0.273059340636375
7,neutral,7,500,27,21,-0.246133069538908,0.0828752642706131,0.4375,-0.0990147542976674,-0.227155425212127,0.208810084016052
7,neutral,8,550,23,21,-0.0889474860164962,0.0890648193963385,0.477272727272727,-0.0495073771488337,-0.261228738993946,0.112436199085566
7,neutral,9,600,18,25,0.320907720080101,0.0932697403285639,0.581395348837209,3.29785379996619e-17,-0.272586510254553,0
7,neutral,10,650,15,24,0.45783309362548,0.10533245556287,0.615384615384615,0.0495073771488337,-0.261228738993946,-0.112436199085566
7,neutral,11,700,14,29,0.710241613919245,0.102863822326125,0.674418604651163,0.0990147542976674,-0.227155425212127,-0.208810084016051
7,neutral,12,750,12,35,1.04380405217311,0.108169014084507,0.74468085106383,0.148522131446501,-0.170366568909095,-0.273059340636375
7,neutral,13,800,12,36,1.07158361628019,0.107397260273973,0.75,0.198029508595335,-0.090862170084851,-0.289121654791456
7,neutral,14,850,12,33,0.985816794522765,0.109850746268657,0.733333333333333,0.247536885744169,0.0113577712606064,-0.240934712326213
7,neutral,15,900,12,33,0.985816794522765,0.109850746268657,0.733333333333333,0.297044262893002,0.136293255127276,-0.112436199085566
7,neutral,16,950,9,33,1.26025364022453,0.135113904163394,0.785714285714286,0.346551640041836,0.283944281515159,0.112436199085566
7,neutral,17,1000,7,39,1.66139765136481,0.158649789029536,0.847826086956522,0.39605901719067,0.454310850424255,0.449744796342265
8,facilitating,1,200,12,6,-0.653926467406664,0.233846153846154,0.333333333333333,-0.39605901719067,0.454310850424255,-0.449744796342265
8,facilitating,2,250,12,6,-0.653926467406664,0.233846153846154,0.333333333333333,-0.346551640041836,0.283944281515159,-0.112436199085566
8,facilitating,3,300,12,6,-0.653926467406664,0.233846153846154,0.333333333333333,-0.297044262893002,0.136293255127276,0.112436199085566
8,facilitating,4,350,15,6,-0.869037847023609,0.218362282878412,0.285714285714286,-0.247536885744169,0.0113577712606063,0.240934712326213
8,facilitating,5,400,9,6,-0.379489621704904,0.259109311740891,0.4,-0.198029508595335,-0.090862170084851,0.289121654791456
8,facilitating,6,450,6,9,0.379489621704904,0.259109311740891,0.6,-0.148522131446501,-0.170366568909095,0.273059340636375
8,facilitating,7,500,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.0990147542976674,-0.227155425212127,0.208810084016052
8,facilitating,8,550,6,13,0.730887508542792,0.227920227920228,0.684210526315789,-0.0495073771488337,-0.261228738993946,0.112436199085566
8,facilitating,9,600,6,15,0.86903784702361,0.218362282878412,0.714285714285714,3.29785379996619e-17,-0.272586510254553,0
